CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60059,BIO 161-0,Being Human in STEM,Lom B,  T  R  ,0950 - 1105am, ,12,0,12,JEC,O
60062,BIO 201-A,Genetics,El Bejjani R,    R  ,0815 - 1055am,WALL 328,16,0,16,NONE,"PRQ,O,HL"
60062,BIO 201-A,Genetics,El Bejjani R, M  W  F ,0110 - 0200pm, ,16,0,16,NONE,"PRQ,O,HL"
60063,BIO 201-B,Genetics,El Bejjani R,    R  ,0110 - 0400pm,WALL 328,16,0,16,NONE,"PRQ,O,HL"
60063,BIO 201-B,Genetics,El Bejjani R, M  W  F ,0110 - 0200pm, ,16,0,16,NONE,"PRQ,O,HL"
60064,BIO 209-0,Bioinformatics Programming,Thurtle-Schmidt D,  T  R  ,0815 - 0930am, ,24,0,24,MQRQ,"XLST,R,O"
60065,BIO 239-0,Nutrition,Whitson J,  T  R  ,1135 - 1250pm,ALVA 307,32,0,32,NONE,"PRQ,H"
60066,BIO 240-A,Biostats for Life Scientists,Smith K,  T  R  ,0815 - 0930am, ,20,0,20,MQRQ,"PRQ,O"
60067,BIO 240-B,Biostats for Life Scientists,Starkloff N,  T  R  ,0950 - 1105am, ,20,0,20,MQRQ,"PRQ,O"
60068,BIO 240-C,Biostats for Life Scientists,Starkloff N,  T  R  ,0110 - 0225pm, ,20,0,20,MQRQ,"PRQ,O"
60069,BIO 303-A,Biochemistry,Pollet R, M     ,0110 - 0400pm,WALL 316,16,0,16,NONE,"PRQ,O,HL"
60069,BIO 303-A,Biochemistry,Pollet R, M  W  F ,0940 - 1030am, ,16,0,16,NONE,"PRQ,O,HL"
60070,BIO 303-B,Biochemistry,Pollet R,  T    ,0110 - 0400pm,WALL 316,16,0,16,NONE,"PRQ,O,HL"
60070,BIO 303-B,Biochemistry,Pollet R, M  W  F ,0940 - 1030am, ,16,0,16,NONE,"PRQ,O,HL"
60071,BIO 307-A,Immunology,Sarafova S,   W   ,0110 - 0400pm,WALL 218,16,0,16,NONE,"PRQ,O,HL"
60071,BIO 307-A,Immunology,Sarafova S,  T  R  ,1135 - 1250pm, ,16,0,16,NONE,"PRQ,O,HL"
60072,BIO 307-B,Immunology,Sarafova S,    R  ,0110 - 0400pm,WALL 218,16,0,16,NONE,"PRQ,O,HL"
60072,BIO 307-B,Immunology,Sarafova S,  T  R  ,1135 - 1250pm, ,16,0,16,NONE,"PRQ,O,HL"
60073,BIO 309-0,Genomics,Thurtle-Schmidt D, M  W  F ,1200 - 1250pm, ,32,0,32,NONE,"PRQ,O"
60074,BIO 320-A,Plant Adaptations,Wadgymar S,  T    ,0110 - 0400pm,WALL 149,16,0,16,NONE,"PRQ,O,HL"
60074,BIO 320-A,Plant Adaptations,Wadgymar S, M  W   ,0220 - 0335pm, ,16,0,16,NONE,"PRQ,O,HL"
60075,BIO 320-B,Plant Adaptations,Wadgymar S,    R  ,0110 - 0400pm,WALL 149,16,0,16,NONE,"PRQ,O,HL"
60075,BIO 320-B,Plant Adaptations,Wadgymar S, M  W   ,0220 - 0335pm, ,16,0,16,NONE,"PRQ,O,HL"
60076,BIO 332-0,REG FOR PSY 324 CRN 60441,Ramirez J,  T    ,0110 - 0400pm,WALL 106,0,0,0,NONE,"XLST,PRQ,H"
60077,BIO 336-0,Animal Development,Lom B,  T  R  ,0110 - 0225pm, ,32,0,32,NONE,"PRQ,O"
60078,BIO 343-0,Laboratory Methods in Genomics,Thurtle-Schmidt D,  T  R  ,0950 - 1105am, ,18,0,18,NONE,"PRQ,O"
60079,BIO 361-0,Biodiversity of Parasites,Starkloff N, M  W   ,0220 - 0335pm,WALL 320,12,0,12,NONE,"PRQ,H"
60086,BIO 393-0,Advances in Genome Editing,El Bejjani R, M  W  F ,1200 - 1250pm,WALL 106,12,0,12,NONE,"PRQ,R,F"
60087,BIO 395-0,REG FOR CHE 430 CRN 60109,Key H,  T  R  ,0950 - 1105am,WALL 307,0,0,0,NONE,"XLST,H"
60088,CHE 106-A,Chemistry of Fibers & Dyes,Gorensek-Benitez A,     F ,0110 - 0400pm, ,16,0,16,NSRQ,"O,OL"
60088,CHE 106-A,Chemistry of Fibers & Dyes,Gorensek-Benitez A,  T  R  ,0815 - 0930am, ,16,0,16,NSRQ,"O,OL"
60089,CHE 106-B,Chemistry of Fibers & Dyes,Gorensek-Benitez A,    R  ,0110 - 0400pm, ,16,0,16,NSRQ,"O,OL"
60089,CHE 106-B,Chemistry of Fibers & Dyes,Gorensek-Benitez A,  T  R  ,0815 - 0930am, ,16,0,16,NSRQ,"O,OL"
60090,CHE 115-A,Principles of Chemistry,Williams T,   W   ,0110 - 0400pm,WALL 110,16,0,16,NSRQ,"H,FL"
60090,CHE 115-A,Principles of Chemistry,Williams T, M  W  F ,0830 - 0920am,WALL 320,16,0,16,NSRQ,"H,FL"
60091,CHE 115-B,Principles of Chemistry,Williams T,    R  ,0110 - 0400pm,WALL 110,16,0,16,NSRQ,"H,FL"
60091,CHE 115-B,Principles of Chemistry,Williams T, M  W  F ,0830 - 0920am,WALL 320,16,0,16,NSRQ,"H,FL"
60092,CHE 115-C,Principles of Chemistry,Gorensek-Benitez A, M     ,0110 - 0400pm,WALL 110,16,0,16,NSRQ,"LL,O,FL"
60092,CHE 115-C,Principles of Chemistry,Gorensek-Benitez A, M  W  F ,1050 - 1140am, ,16,0,16,NSRQ,"LL,O,FL"
60093,CHE 115-D,Principles of Chemistry,Gorensek-Benitez A,  T    ,0110 - 0400pm,WALL 110,16,0,16,NSRQ,"LL,O,FL"
60093,CHE 115-D,Principles of Chemistry,Gorensek-Benitez A, M  W  F ,1050 - 1140am, ,16,0,16,NSRQ,"LL,O,FL"
60094,CHE 220-A,Intro to Analytical Chemistry,Blauch D,   W   ,0110 - 0400pm,WALL 235,16,0,16,NSRQ,"PRQ,H,HL"
60094,CHE 220-A,Intro to Analytical Chemistry,Blauch D, M  W  F ,1050 - 1140am,WALL 106,16,0,16,NSRQ,"PRQ,H,HL"
60095,CHE 220-B,Intro to Analytical Chemistry,Blauch D,    R  ,0110 - 0400pm,WALL 235,16,0,16,NSRQ,"PRQ,H,HL"
60095,CHE 220-B,Intro to Analytical Chemistry,Blauch D, M  W  F ,1050 - 1140am,WALL 106,16,0,16,NSRQ,"PRQ,H,HL"
60096,CHE 230-A,Intro to Biological Chemistry,Myers J, M     ,0110 - 0400pm,WALL 335,16,0,16,NSRQ,"PRQ,H,HL"
60096,CHE 230-A,Intro to Biological Chemistry,Myers J,  T  R  ,0950 - 1105am,WALL 106,16,0,16,NSRQ,"PRQ,H,HL"
60097,CHE 230-B,Intro to Biological Chemistry,Myers J,  T    ,0110 - 0400pm,WALL 335,16,0,16,NSRQ,"PRQ,H,HL"
